pTSymbols,primeType,responseSentence,primeOShuffle,trial_type,pTChoice,slide_type,goodPTChoice,primeStrength,pOSymbols,workerid,pTwrongAnswer,correctPTChoice,correctPOChoice,correctPChoices,pOSentence,pOChoice,slide_number,response,responseChoice,image,pTSentence,audio,block_rt,Answer.condition,btwncondition,goodPOChoice,responseSymbols,Answer.time_in_minutes,response_rt,pOwrongAnswer,primeTShuffle
,,,,,,bot_check,,,,0,,,,,,,1,"[0, 'susan']",,Susan,,,,undefined,,,,10.74395,,,
"[2, 7, 5]",0,Some of the symbols are spades.,"[0, 1]",response,1,,1,1,"[9, 5, 6]",0,"[0, 0, 0]",True,True,True,Some of the symbols are triangles.,1,,,1,,Some of the symbols are ticks.,,8240,undefined,exh-subclausal,1,"[3, 6, 1]",10.74395,2224,"[0, 0, 0]","[0, 1]"
"[1, 8, 7]",2,There is a club.,"[0, 1]",response,0,,0,1,"[2, 1, 7]",0,"[0, 0, 0]",True,True,True,There is a tick.,1,,,1,,There is a club.,,6391,undefined,exh-subclausal,1,"[1, 2, 8]",10.74395,2263,"[0, 0, 0]","[1, 0]"
"[0, 2, 5]",2,There is a square.,"[1, 0]",response,0,,0,0,"[5, 6, 1]",0,"[0, 0, 0]",True,True,True,There is a square.,0,,,1,,There is a diamond.,,6872,undefined,exh-subclausal,0,"[5, 4, 8]",10.74395,3352,"[0, 0, 0]","[1, 0]"
"[4, 9, 8]",1,There are four spades.,"[0, 1]",filler,1,,1,2,"[9, 1, 4]",0,"[0, 0, 0]",True,True,True,There are four but no more than four triangles.,1,,,1,,There are four but no more than four hearts.,,8376,undefined,exh-subclausal,1,"[3, 5, 2]",10.74395,1303,"[0, 0, 0]","[0, 1]"
"[0, 5, 8]",0,Some of the symbols are diamonds.,"[0, 1]",filler,0,,0,0,"[0, 5, 1]",0,"[0, 0, 0]",True,True,True,Some of the symbols are diamonds.,1,,,1,,Some of the symbols are diamonds.,,7416,undefined,exh-subclausal,1,"[0, 5, 9]",10.74395,1504,"[0, 0, 0]","[1, 0]"
"[4, 2, 9]",0,Some of the symbols are triangles.,"[0, 1]",response,1,,1,2,"[7, 8, 6]",0,"[0, 0, 0]",True,True,True,Some but not all of the symbols are circles.,1,,,1,,Some but not all of the symbols are hearts.,,7055,undefined,exh-subclausal,1,"[9, 3, 4]",10.74395,2166,"[0, 0, 0]","[0, 1]"
"[6, 2, 9]",1,There are four spades.,"[0, 1]",response,0,,0,1,"[0, 2, 4]",0,"[0, 0, 0]",True,True,True,There are four diamonds.,1,,,1,,There are four stars.,,3455,undefined,exh-subclausal,1,"[3, 1, 6]",10.74395,1183,"[0, 0, 0]","[1, 0]"
"[6, 1, 2]",1,There are four diamonds.,"[0, 1]",response,0,,0,0,"[7, 0, 9]",0,"[0, 0, 0]",True,True,True,There are four circles.,1,,,1,,There are four stars.,,6969,undefined,exh-subclausal,1,"[0, 4, 7]",10.74395,1944,"[0, 0, 0]","[1, 0]"
"[8, 0, 6]",1,There are four triangles.,"[0, 1]",response,0,,0,1,"[2, 6, 3]",0,"[0, 0, 0]",True,True,True,There are four ticks.,1,,,1,,There are four notes.,,4071,undefined,exh-subclausal,1,"[9, 4, 7]",10.74395,1559,"[0, 0, 0]","[1, 0]"
"[7, 6, 5]",0,Some of the symbols are circles.,"[1, 0]",response,1,,1,0,"[0, 2, 4]",0,"[0, 0, 0]",True,True,True,Some of the symbols are diamonds.,0,,,1,,Some of the symbols are circles.,,7417,undefined,exh-subclausal,0,"[7, 6, 0]",10.74395,1896,"[0, 0, 0]","[0, 1]"
"[11, 4, 7]",0,Some of the symbols are ticks.,"[1, 0]",filler,0,,0,3,"[3, 3, 0]",0,"[3, 0, 0]",True,True,True,3 + 0 = ?,0,,,1,,4 + 7 = ?,,11168,undefined,exh-subclausal,0,"[2, 7, 6]",10.74395,2047,"[3, 0, 0]","[1, 0]"
"[11, 9, 2]",1,There are four ticks.,"[1, 0]",response,1,,1,3,"[8, 4, 4]",0,"[2, 0, 0]",True,True,True,4 + 4 = ?,0,,,1,,9 + 2 = ?,,5063,undefined,exh-subclausal,0,"[2, 8, 9]",10.74395,1686,"[5, 0, 0]","[0, 1]"
"[8, 8, 0]",1,There are four clubs.,"[0, 1]",filler,0,,0,3,"[11, 8, 3]",0,"[8, 0, 0]",True,True,True,8 + 3 = ?,1,,,1,,8 + 0 = ?,,5104,undefined,exh-subclausal,1,"[1, 0, 2]",10.74395,1960,"[2, 0, 0]","[1, 0]"
"[6, 7, 2]",1,There are four stars.,"[1, 0]",response,1,,1,1,"[3, 1, 2]",0,"[0, 0, 0]",True,True,True,There are four spades.,0,,,1,,There are four stars.,,4288,undefined,exh-subclausal,0,"[6, 8, 9]",10.74395,1968,"[0, 0, 0]","[0, 1]"
"[13, 4, 9]",1,There are four notes.,"[1, 0]",filler,1,,1,3,"[11, 5, 6]",0,"[6, 0, 0]",True,True,True,5 + 6 = ?,0,,,1,,4 + 9 = ?,,5560,undefined,exh-subclausal,0,"[8, 6, 9]",10.74395,1392,"[3, 0, 0]","[0, 1]"
"[1, 3, 9]",0,Some of the symbols are stars.,"[0, 1]",response,1,,0,0,"[0, 3, 1]",0,"[0, 0, 0]",False,True,False,Some of the symbols are diamonds.,1,,,1,,Some of the symbols are clubs.,,15072,undefined,exh-subclausal,1,"[6, 7, 2]",10.74395,7704,"[0, 0, 0]","[1, 0]"
"[4, 1, 6]",0,Some of the symbols are ticks.,"[1, 0]",filler,0,,0,0,"[8, 9, 7]",0,"[0, 0, 0]",True,True,True,Some of the symbols are notes.,0,,,1,,Some of the symbols are hearts.,,6592,undefined,exh-subclausal,0,"[2, 0, 4]",10.74395,1783,"[0, 0, 0]","[1, 0]"
"[1, 4, 0]",0,Some of the symbols are squares.,"[0, 1]",response,1,,1,1,"[2, 5, 0]",0,"[0, 0, 0]",True,True,True,Some of the symbols are ticks.,1,,,1,,Some of the symbols are clubs.,,7136,undefined,exh-subclausal,1,"[5, 4, 9]",10.74395,3400,"[0, 0, 0]","[0, 1]"
"[6, 5, 8]",1,There are four spades.,"[1, 0]",filler,1,,1,0,"[5, 4, 3]",0,"[0, 0, 0]",True,True,True,There are four squares.,0,,,1,,There are four stars.,,6112,undefined,exh-subclausal,0,"[3, 9, 6]",10.74395,2615,"[0, 0, 0]","[0, 1]"
"[1, 8, 6]",0,Some of the symbols are hearts.,"[1, 0]",response,1,,1,0,"[1, 8, 7]",0,"[0, 0, 0]",True,True,True,Some of the symbols are clubs.,0,,,1,,Some of the symbols are clubs.,,16952,undefined,exh-subclausal,0,"[4, 1, 9]",10.74395,1831,"[0, 0, 0]","[0, 1]"
"[11, 2, 9]",1,There are four hearts.,"[1, 0]",response,0,,0,3,"[8, 8, 0]",0,"[4, 0, 0]",True,False,False,8 + 0 = ?,1,,,1,,2 + 9 = ?,,6767,undefined,exh-subclausal,0,"[4, 3, 2]",10.74395,1951,"[9, 0, 0]","[1, 0]"
"[8, 5, 1]",2,There is a club.,"[0, 1]",filler,0,,0,0,"[5, 1, 4]",0,"[0, 0, 0]",True,True,True,There is a square.,1,,,1,,There is a note.,,4497,undefined,exh-subclausal,1,"[1, 0, 5]",10.74395,1472,"[0, 0, 0]","[1, 0]"
"[12, 6, 6]",0,Some of the symbols are circles.,"[1, 0]",response,0,,1,3,"[5, 2, 3]",0,"[3, 0, 0]",False,False,False,2 + 3 = ?,1,,,1,,6 + 6 = ?,,4312,undefined,exh-subclausal,0,"[7, 5, 1]",10.74395,1560,"[8, 0, 0]","[0, 1]"
"[4, 9, 7]",0,Some of the symbols are triangles.,"[1, 0]",response,0,,0,2,"[1, 0, 7]",0,"[0, 0, 0]",True,True,True,Some but not all of the symbols are clubs.,0,,,1,,Some but not all of the symbols are hearts.,,7439,undefined,exh-subclausal,0,"[9, 1, 7]",10.74395,2479,"[0, 0, 0]","[1, 0]"
"[4, 6, 3]",2,There is a spade.,"[1, 0]",response,1,,1,2,"[8, 5, 4]",0,"[0, 0, 0]",True,True,True,There is a note but nothing else.,0,,,0,,There is a heart but nothing else.,,7336,undefined,exh-subclausal,0,"[3, 0, 9]",10.74395,2839,"[0, 0, 0]","[0, 1]"
"[11, 3, 8]",2,There is a spade.,"[1, 0]",filler,0,,0,3,"[8, 8, 0]",0,"[1, 0, 0]",True,False,False,8 + 0 = ?,1,,,1,,3 + 8 = ?,,4497,undefined,exh-subclausal,0,"[3, 0, 8]",10.74395,1319,"[4, 0, 0]","[1, 0]"
"[12, 7, 5]",1,There are four stars.,"[1, 0]",filler,0,,0,3,"[15, 6, 9]",0,"[5, 0, 0]",True,False,False,6 + 9 = ?,1,,,1,,7 + 5 = ?,,6344,undefined,exh-subclausal,0,"[6, 3, 8]",10.74395,1560,"[2, 0, 0]","[1, 0]"
"[13, 7, 6]",0,Some of the symbols are triangles.,"[0, 1]",response,0,,0,3,"[2, 1, 1]",0,"[1, 0, 0]",True,True,True,1 + 1 = ?,1,,,1,,7 + 6 = ?,,5576,undefined,exh-subclausal,1,"[9, 3, 7]",10.74395,1928,"[1, 0, 0]","[1, 0]"
"[7, 3, 8]",2,There is a circle.,"[0, 1]",response,1,,1,2,"[0, 3, 4]",0,"[0, 0, 0]",True,True,True,There is a diamond but nothing else.,1,,,1,,There is a circle but nothing else.,,5736,undefined,exh-subclausal,1,"[7, 6, 1]",10.74395,2680,"[0, 0, 0]","[0, 1]"
"[3, 7, 6]",0,Some of the symbols are clubs.,"[0, 1]",filler,1,,1,2,"[2, 1, 5]",0,"[0, 0, 0]",True,True,True,Some but not all of the symbols are ticks.,1,,,1,,Some but not all of the symbols are spades.,,6736,undefined,exh-subclausal,1,"[1, 7, 2]",10.74395,1872,"[0, 0, 0]","[0, 1]"
"[5, 1, 8]",0,Some of the symbols are notes.,"[1, 0]",filler,1,,1,2,"[0, 5, 3]",0,"[0, 0, 0]",True,True,True,Some but not all of the symbols are diamonds.,0,,,1,,Some but not all of the symbols are squares.,,7352,undefined,exh-subclausal,0,"[8, 3, 2]",10.74395,2560,"[0, 0, 0]","[0, 1]"
"[8, 6, 3]",0,Some of the symbols are circles.,"[0, 1]",filler,0,,0,0,"[3, 5, 2]",0,"[0, 0, 0]",True,True,True,Some of the symbols are spades.,1,,,1,,Some of the symbols are notes.,,7768,undefined,exh-subclausal,1,"[7, 2, 8]",10.74395,1848,"[0, 0, 0]","[1, 0]"
"[8, 3, 7]",2,There is a tick.,"[1, 0]",response,1,,1,1,"[8, 3, 9]",0,"[0, 0, 0]",True,True,True,There is a note.,0,,,1,,There is a note.,,5752,undefined,exh-subclausal,0,"[2, 5, 0]",10.74395,2759,"[0, 0, 0]","[0, 1]"
"[7, 5, 2]",2,There is a square.,"[0, 1]",response,0,,1,3,"[12, 5, 7]",0,"[1, 0, 0]",False,True,False,5 + 7 = ?,1,,,1,,5 + 2 = ?,,5511,undefined,exh-subclausal,1,"[5, 1, 2]",10.74395,1423,"[1, 0, 0]","[0, 1]"
"[11, 9, 2]",2,There is a spade.,"[0, 1]",response,1,,0,3,"[12, 5, 7]",0,"[1, 0, 0]",False,False,False,5 + 7 = ?,0,,,1,,9 + 2 = ?,,5608,undefined,exh-subclausal,1,"[3, 5, 0]",10.74395,1375,"[5, 0, 0]","[1, 0]"
"[17, 8, 9]",2,There is a circle.,"[1, 0]",filler,0,,1,3,"[3, 2, 1]",0,"[9, 0, 0]",False,False,False,2 + 1 = ?,1,,,1,,8 + 9 = ?,,5712,undefined,exh-subclausal,0,"[7, 4, 1]",10.74395,1224,"[2, 0, 0]","[0, 1]"
"[4, 6, 0]",0,Some of the symbols are diamonds.,"[0, 1]",filler,1,,1,0,"[8, 5, 1]",0,"[0, 0, 0]",True,True,True,Some of the symbols are notes.,1,,,1,,Some of the symbols are hearts.,,5831,undefined,exh-subclausal,1,"[0, 8, 2]",10.74395,1767,"[0, 0, 0]","[0, 1]"
"[2, 2, 0]",2,There is a heart.,"[1, 0]",filler,1,,0,3,"[4, 1, 3]",0,"[4, 0, 0]",False,False,False,1 + 3 = ?,1,,,1,,2 + 0 = ?,,5440,undefined,exh-subclausal,0,"[4, 3, 9]",10.74395,1807,"[4, 0, 0]","[1, 0]"
"[4, 8, 7]",2,There is a circle.,"[0, 1]",filler,1,,1,0,"[8, 2, 5]",0,"[0, 0, 0]",True,True,True,There is a note.,1,,,1,,There is a heart.,,5504,undefined,exh-subclausal,1,"[7, 4, 8]",10.74395,1399,"[0, 0, 0]","[0, 1]"
"[2, 3, 5]",1,There are four hearts.,"[0, 1]",response,0,,0,2,"[9, 0, 4]",0,"[0, 0, 0]",True,True,True,There are four but no more than four triangles.,1,,,1,,There are four but no more than four ticks.,,8993,undefined,exh-subclausal,1,"[4, 0, 2]",10.74395,2728,"[0, 0, 0]","[1, 0]"
"[8, 3, 5]",0,Some of the symbols are notes.,"[0, 1]",filler,1,,1,3,"[7, 6, 1]",0,"[5, 0, 0]",True,False,False,6 + 1 = ?,0,,,1,,3 + 5 = ?,,4944,undefined,exh-subclausal,1,"[8, 3, 0]",10.74395,1680,"[8, 0, 0]","[0, 1]"
"[10, 2, 8]",2,There is a heart.,"[1, 0]",response,0,,1,3,"[13, 8, 5]",0,"[9, 0, 0]",False,False,False,8 + 5 = ?,1,,,1,,2 + 8 = ?,,5839,undefined,exh-subclausal,0,"[4, 7, 1]",10.74395,1519,"[7, 0, 0]","[0, 1]"
"[8, 3, 6]",1,There are four notes.,"[0, 1]",filler,1,,1,1,"[5, 9, 7]",0,"[0, 0, 0]",True,True,True,There are four squares.,1,,,1,,There are four notes.,,4912,undefined,exh-subclausal,1,"[8, 3, 4]",10.74395,2463,"[0, 0, 0]","[0, 1]"
"[1, 5, 6]",2,There is a square.,"[0, 1]",response,0,,0,1,"[1, 3, 4]",0,"[0, 0, 0]",True,True,True,There is a club.,1,,,1,,There is a club.,,5928,undefined,exh-subclausal,1,"[5, 2, 7]",10.74395,1424,"[0, 0, 0]","[1, 0]"
"[6, 0, 8]",2,There is a triangle.,"[1, 0]",filler,0,,0,1,"[6, 9, 1]",0,"[0, 0, 0]",True,True,True,There is a star.,0,,,1,,There is a star.,,3896,undefined,exh-subclausal,0,"[9, 7, 0]",10.74395,1304,"[0, 0, 0]","[1, 0]"
"[2, 5, 4]",1,There are four squares.,"[1, 0]",filler,0,,0,0,"[4, 7, 3]",0,"[0, 0, 0]",True,True,True,There are four hearts.,0,,,1,,There are four ticks.,,6096,undefined,exh-subclausal,0,"[5, 7, 0]",10.74395,2912,"[0, 0, 0]","[1, 0]"
"[4, 3, 0]",2,There is a square.,"[0, 1]",filler,0,,0,0,"[1, 2, 9]",0,"[0, 0, 0]",True,True,True,There is a club.,1,,,1,,There is a heart.,,6560,undefined,exh-subclausal,1,"[5, 7, 0]",10.74395,1888,"[0, 0, 0]","[1, 0]"
"[6, 3, 0]",1,There are four circles.,"[0, 1]",response,0,,0,0,"[8, 9, 1]",0,"[0, 0, 0]",True,True,True,There are four notes.,1,,,1,,There are four stars.,,4792,undefined,exh-subclausal,1,"[7, 3, 9]",10.74395,2088,"[0, 0, 0]","[1, 0]"
